1999,0.738421,0.396,0.583,0.799,0.876,0.958
2000,0.748257,0.249,0.662,0.77,0.852,0.947
2001,0.724631,0.0581,0.637,0.7365,0.843,0.965
2002,0.722567,0.34,0.622,0.747,0.824,0.97
2003,0.701485,0.219,0.597,0.734,0.826,0.974
2004,0.734698,0.387,0.633,0.7465,0.849,0.988
2005,0.701048,0.247,0.574,0.723,0.824,0.961
2006,0.705347,0.203,0.584,0.723,0.823,0.955
2007,0.767149,0.322,0.668,0.778,0.887,0.967
2008,0.75232,0.428,0.668,0.733,0.862,0.976
2009,0.754702,0.368,0.666,0.7575,0.874,0.976
2010,0.773804,0.482,0.675,0.803,0.861,0.954
2011,0.755596,0.115,0.677,0.777,0.861,0.977
2012,0.768983,0.28,0.686,0.793,0.872,0.972
2013,0.711842,0.0549,0.621,0.727,0.821,0.933
2014,0.724365,0.292,0.629,0.7535,0.803,0.951
2015,0.689596,0.302,0.57,0.716,0.802,0.924
2016,0.67598,0.275,0.567,0.692,0.798,0.943
2017,0.689351,0.318,0.598,0.719,0.787,0.905
2018,0.642196,0.296,0.56,0.633,0.745,0.909
2019,0.663921,0.317,0.559,0.662,0.765,0.887
